ID,Markalar
1,Vodafone
2,Türk Telekom
3,Trendyol
4,A101
5,Aras Kargo
6,Sürat Kargo
7,Akbank
8,PTT Kargo
9,Hepsiburada
10,Turkcell
11,Migros
12,Ziraat Bankası
13,MNG Kargo
14,Denizbank
15,Garanti BBVA
16,Superonline
17,Digiturk
18,Arçelik
19,İBB - İstanbul Büyükşehir Belediyesi
20,VakıfBank
21,Instagram
22,Şok Marketler
23,Yapı Kredi Bankası
24,BTK (Bilgi Teknolojileri ve İletişim Kurumu)
25,Boyner
26,Papara
27,WhatsApp
28,Yemeksepeti
29,Samsung Telefon
30,Vivense
31,AGT Kurye (aynigunteslim.com)
32,Dyson
33,Vodafone Net
34,Watsons
35,ÇiçekSepeti
36,Amazon
37,Kuryenet
38,QNB Finansbank
39,Millenicom
40,Kamil Koç
41,İş Bankası
42,Media Markt
43,Gratis
44,Halkbank
45,Yurtiçi Kargo
46,Samsung
47,Türkiye Hayat Emeklilik
48,TurkNet
49,Vestel
50,BİM
51,PttAVM
52,Dolap
53,FLO Ayakkabı
54,Karaca Züccaciye
55,Exxen
56,Teknosa
57,Getir
58,N11
59,Sendeo
60,ebebek
61,LC Waikiki
62,Passolig
63,PayFix
64,Trendyol Express
65,Beko
66,D-Smart
67,TEB
68,Horoz Lojistik
69,Bosch
70,Obilet
71,Türkiye Sigorta
72,Mavi
73,Koçtaş
74,Enpara
75,KARGOMsende
76,Milli Eğitim Bakanlığı (MEB)
77,hepsiJET
78,Kablo Net
79,AJet (Anadolu Jet)
80,Xiaomi
81,Skechers
82,Sahibinden
83,Shopier
84,Paycell
85,THY
86,Kumtel
87,Pegasus
88,Casibom
89,Gardrops
90,Zara
91,Kargoist
92,TOD Tv
93,SGK
94,JBL
95,Metro Turizm
96,Yataş
97,Enza Home
98,Jojobet
99,Burger King
100,Vatan Bilgisayar
101,Trendyol Yemek
102,Finans Kuruluşları Adıyla Dolandırıcılık
103,Kelebek Mobilya
104,Onvo
105,Pazarama
106,İstikbal
107,EasyCep
108,Monster Notebook
109,PHILIPS Ev Aletleri
110,Domino's Pizza
