ID,Marka
1,Vodafone
2,Türk Telekom
3,Trendyol
4,A101
5,Aras Kargo
6,Sürat Kargo
7,Akbank
8,PTT Kargo
9,Hepsiburada
10,Turkcell
11,Migros
12,Ziraat Bankası
13,MNG Kargo
14,Denizbank
15,Garanti BBVA
16,Superonline
17,Digiturk
18,Arçelik
19,İBB - İstanbul Büyükşehir Belediyesi
20,VakıfBank
21,Instagram
22,Şok Marketler
23,Yapı Kredi Bankası
24,BTK (Bilgi Teknolojileri ve İletişim Kurumu)
25,Boyner
26,Papara
27,WhatsApp
28,Yemeksepeti
29,Samsung Telefon
30,Vivense
31,AGT Kurye (aynigunteslim.com)
32,Dyson
33,Vodafone Net
34,Watsons
35,ÇiçekSepeti
36,Amazon
37,Kuryenet
38,QNB Finansbank
39,Millenicom
40,Kamil Koç
41,İş Bankası
42,Media Markt
43,Gratis
44,Halkbank
45,Yurtiçi Kargo
46,Samsung
47,Türkiye Hayat Emeklilik
48,TurkNet
49,Vestel
50,BİM
51,PttAVM
52,Dolap
53,FLO Ayakkabı
54,Karaca Züccaciye
55,Exxen
56,Teknosa
57,Getir
58,N11
59,Sendeo
60,ebebek
61,LC Waikiki
62,Passolig
63,PayFix
64,Trendyol Express
65,Doğtaş Mobilya
66,Reeder
67,Tecno Mobile
68,e-Devlet (Turkiye.gov.tr)
69,Tıkla Gelsin
70,Köfteci Yusuf
71,İsem Kitap
72,PHILIPS TV
73,Madame Coco
74,iPhone
75,KFC
76,Findeks
77,İninal Kart
78,Armut
79,Migros Yemek
80,Bellona
81,Kuveyt Türk
82,Decathlon
83,UPS Türkiye
84,Evkur Alışveriş
85,Kolay Gelsin
86,Carrefour SA
87,YKMkitap
88,Popeyes
89,GrandPashaBet
90,Cvmaker.com.tr
91,Arzum
92,Apple
93,iData
94,Türk Kızılay
95,English Home
96,Ülker
97,BELBİM (İstanbulkart)
98,IKEA
99,Medical Park Hastanesi
100,adidas
101,Turkcell TV+
102,Bir Günde Kargo
103,Martı
104,Siemens Ev Aletleri
105,Ziraat Yatırım
106,Sağlık Bakanlığı
107,Bkmkitap
