ID,Sikayet Icerigi
1,"Akmina karadutlu 1 litre maden suyu A101'den devamlı aldığım bir üründür ama maalesef bozuk meyve kokusu ve bozuk meyve tadı var. Keyifle içerdim, bu durum beni ciddi rahatsız etti. Bir açıklaması ve izahı var mıdır? Yetkililere duyurulur. Alım tarihi 01/07/2024 bilginize."
2,"Biz Karakuyu köyündeyiz. Bizim civar köylerde elektrik var, bu sıcak yaz gününde 45 derecede elektriğimizi kesiyorlar. Sabah ve akşam yeter artık! Biz sustukça siz devam ediyorsunuz. Gerçekten artık bıktık. Faturalarımızı da ödüyoruz. Yani böyle kafalarına göre elektriği kesiyorlar. Nerede büyükşehir belediye başkanı? Biraz artık bir şeyler mi yapsanız? Biz cidden burada mağduruz."
3,Macromusic uygulamasından yanlışlıkla yapmış olduğum satın alma işlemimin iptal edilip para iadesinin yapılmasını istedim ancak uygulamadaki 3 aylık abonelik satın alınmasının iptal edilmesine rağmen para iadesi gerçekleştirilmedi. Para iadesinin yapılmasını istiyorum.
4,"Siteye para yatırdığım halde eklenmedi. Canlı desteğe bağlanması 1 saat sürüyor. Oyunlarda hile olduğunu düşünüyorum. Sürekli 'Para yatır, bakiyen şuna ulaşsın' gibi gün içerisinde hem Telegram'da hem de mesajlardan sürekli bildirim geliyor. Siteden şikayetçiyim."
5,Migros yemek uygulaması üzerinden sipariş verdim. Burger King firmasından gelen sipariş bir önceki siparişte şikayet konusu olduğu gibi yine eksik geldi. İki saat içinde 4 defa Migros yemek canlı yardım ile görüştüm. Her defasında siparişin değiştirileceği bilgisi verildi ve ürünü değiştirmediler. Ücret iadesi sipariş iptali talebinde bulundum defalarca fakat Migros canlı yardım mail atılacağını ve telefon açılacağını söylediler fakat ne mail geldi ne de telefon açıldı. Bir daha asla kullanmam bu uygulamayı. Aradan bir gün geçmiş hala ürün mevcut mu diye soruyorlar utanmadan.
6,"Millenicom'da kullanmış olduğum internetimi farklı bir adrese taşıdım. Pazartesi günü arıza talebine binaen Türk Telekom'dan geldiğini söyleyen yetkili bağlantımı yaptı ve internete bağlandım. Bu işlemden birkaç saat sonra Millenicom'dan kurulum yapmak için gelen arkadaş aradı ve zaten bağlantıyı Türk Telekom'dan bir çalışanın yaptığını söyledim. Kendileri herhangi bir sorun varsa isterseniz kontrol edelim dedi. Ben de zaten interneti kullandığım için bir sorun olmadığını söyledim. Bu konuşmadan sonra internet bağlantım kesildi. Pazartesi gününden beri müşteri hizmetlerinde bir yetkiliyle görüşmeye çalışıyorum. Otomatik yanıt sistemi dışında bir yetkiliye bağlanmak mümkün değil. Şikayet oluşturuyorum, otomatik cevap veriyorlar. Her mesajıma 'arıza talebiniz üzerinde çalışma devam etmektedir' şeklinde, arada arıyorlar Millenicom'dan şikayetle ilgili aramıştık, çalışma devam ettiği söyleniyor. Bu gece arızanın giderildiğine dair SMS gönderdiler fakat internet bağlantım hala yok ve daha kaç gün böyle bunun peşinde koşmam gerekecek, hiçbir şekilde bir sonuç alamıyorum ve birine de ulaşamıyorum."
7,Solgar VM-2000 ürünümü uygun ortamda muhafaza etmeme rağmen son kullanma tarihine daha 16 ay varken bozulduğunu fark ettim. Siyah kararmalar ve küflenmeden dolayı akıl almaz derecede bir kokusu var. Bir sürü para verdiğimiz üründe yaşadığımız durum gerçekten çok can sıkıcı. Yetkililerin iletişime geçerek hatalarını telafi etmesini talep ediyorum.
8,"Yatırım yaptım, çekim işlemi yapmak istiyorum. 3 haftadır e-posta doğrulama kodunu göndermedikleri için çekim işlemi yapamıyorum. Yatırım yaparken sıkıntı olmuyor ama çekim işlemi yapmak istediğimde saçma sapan şeyler nedeniyle onay vermiyorlar. Para yatırmayı düşünmeyin."
9,"Karaca firması sipariş sonu ödeme adımında 'Karaca Love' diye beceremedikleri bir uygulama yapmış. Yapmış olduğum 2408.96 TL'lik alışveriş için oraya para transferi yaptım ama para yok oldu, görünmüyor. Kartımdan 2278.78 TL meblağ çekildi ama sipariş oluşmadı. Bir an önce zaman kaybımın ve para kaybımın telafi edilmesini, çekilen tutarın acilen hesabıma geri aktarılmasını istiyorum."
10,"19-22 Haziran tarihlerinde 2 yetişkin ve 16 aylık bebeğimizle konakladık. Amacımız yemekleri iyi olan, temiz ve bebeğimizin iyi bir vakit geçireceği tatil yapmak ve buna uygun bir otelde konaklamaktı. Öncelikle yemekler gerçekten facia, hele ki çocuğunuz varsa. Sürekli çiğ, pişmemiş, lezzetsiz ve aynı yemekler çıkmakta. Dana eti beklemeyin; sürekli hindi ve tavuk eti çıkıyor, çeşit çeşit taze lezzetli tatlı yiyeyim diye düşünüyorsanız unutun. Balık, salata ve mezeler vb. bahsetmiyorum bile. İlk gün akşam yemeğinde ızgara tavuğun içi tamamen çiğ, ikinci gün akşam yemeğinde ilk ve tek olarak dana eti çıktı; döner ve dana rosto. O döneri nasıl koyarsınız; kıpkırmızı, çiğ, suları akıyor ve döner eti ile alakası yok, sert ve ne eti belli değil. Dana rostoya çatal girmiyor. Üçüncü gün öğle yemeğinde hindi şiş ızgara yine çiğ olarak servis edilmiş. Kanatlı etinin çiğ olmasının bakteriler açısından çok tehlikeli olduğunu, bunu çocuğun yiyeceğini söylesem de nafile; şef çağrıldı ve özür dilendi ama sürekli aynı devam etti. Şef, dönerin dışarıdan geldiğini, sadece burada piştiğini; etin içeriğini bilmediğini ve hızlı olmak için çiğ kesilmiş olduğunu söyledi. Biz de hadi etler çiğ, bulgurlu mercimek pilavı yapmışsınız, mercimekler taş gibi, onlar da pişmemiş dediğimizde yorum dahi yapılamadı. Ayrıca çocuk restoranında ufak masa ve sandalyeler var. Öğle yemeğinden artan yemekler akşam yemeğinde buraya konuyor. Bu otelde çocuklar ancak fast food, yoğurt ve çorba yiyebilir. Diğer yemekleri bile kolay kolay bir yetişkin bırakın tadını ve lezzetini; çiğ ve pişmemiş olmasından dolayı yiyemiyorsa çocuğunuza asla yediremezsiniz. Ki bu yorumlara karşın yalan derler diye fotoğraflarını çektik ve hala bellekte saklıyoruz. Çiğ yenmeyecek kadar sert dediğimiz ürünleri kimse tüketmemiş ve tabaklarında duruyor. Ardından çöpe gidiyordu. Yaptığımız yorumlar şükürsüzlük değil, emin olun yazık oluyor, israf oluyor ve verdiğiniz para karşılığında beklentiniz hiç ama hiç karşılanmıyor. Şikayetlerimiz haklı bulunduğu ve müşteri memnuniyeti açısından 3. gün a la carte restoranda yer ayrıldı. Bizim için yediğimiz en lezzetsiz çipuraydı diyebiliriz; onlar da tabakta kaldı. Artık çiftlik çipurası mı, dondurulmuş mu bilemiyorum. 7-8 çeşit meze getirdiler. Sadece bir tanesi güzeldi. Deneyimlediğim en kötü otel a la carte restoranı idi."
11,23.06.2024 tarihinde ATM'den yatırdığım para hesaba geçmedi. Takip eden dakikalarda hemen bankayı arayıp kayıt oluşturup şikayetimi bildirdim (8022754233 bildirim no). 4 iş günü içinde sonuçlanacağını söylediler fakat halen bir sonuç alamadım. En kısa sürede paramın hesabıma geçmesini talep ediyorum.
12,"Apple AirPods Pro kulaklığım var ve bu kulaklığın sol tarafında sürekli hışırtı ve statik gürültü var, sağ tarafta daha az yapıyor. Bu rahatsızlık öyle bir seviyede ki, mesela yolda gidiyorsunuz, aracın biri korna çalıyor, hışırtı başlıyor. Kulaklık takılı mesela maç mı izliyorsunuz, gol oluyor, spiker yüksek sesle bağırıyor, hışırtı başlıyor. Garantisi bitti, anladığım kadarıyla bu kronik bir sorun ve Apple garanti sonrasında kulaklıkta sorun olduğunu kabul etmiş ama garanti bittiği için bunu düzeltmek mümkün değil. Bunu Apple'a yakıştıramıyorum. Ürününüzü sahip çıkmalısınız. Yüzlerce hışırtı sorunu yaşayan insan var ve bunu garanti süresi kılıfının arkasına saklanıp kullanıcı hatası olarak göremezsiniz. Bu yapısal bir sorundur ve ürün hatasıdır, satılan da ayıplı bir üründür."
13,"BES iptalini daha önce gerçekleştirmiştim. Beni telefonda arayarak kapatıldığını söylediler. Doğru, kapalı görülüyor. E-devlet'ten baktığımda, fakat bu üçüncü şikayetim olacak, aradan aylar geçmiş olmasına rağmen paramı hala yatırmadılar. Param neden yatırılmıyor?"
14,"Merhaba, TikTok'a Google hesabımla kayıt oldum ve kayıt olduğum e-postamı başka bir hesaba aktarmak istiyorum. E-postayı değiştirdim ancak hala eski hesabıma giriyor. Yardımcı olur musunuz? WhatsApp'tan ulaşabilirsiniz. Aramayın, çalışıyorum. Duymam. 0551********76. Instagram: salimcanevkuran_official"
